School Name,Borough,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Zip Code,address_full2,Lat,Lon
I.S. 243 - BRONX,X,10,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,50553000,CIP,X435,500 EAST FORDHAM ROAD,Bronx,10458,"500 EAST FORDHAM ROAD, Bronx 10458",40.85985,-73.8883
DEWITT CLINTON HS - X,X,10,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,27189000,CIP,X440,100 W MOSHOLU PKWY S,Bronx,10468,"100 W MOSHOLU PKWY S, Bronx 10468",40.879877,-73.888943
BRONX HS OF SCIENCE - X,X,10,ROOF REPLACEMENT/PARAPETS,8985000,CIP,X445,75 W 205 STREET,Bronx,10468,"75 W 205 STREET, Bronx 10468",40.87709376,-73.88982273
JOHN F. KENNEDY HS - BRONX,X,10,SCIENCE LAB UPGRADE,5547000,CIP,X475,99 TERRACE VIEW AVENUE,Bronx,10463,"99 TERRACE VIEW AVENUE, Bronx 10463",40.87726,-73.91258
MARBLE HILL INTERNATIONAL HS -,X,10,EXT MASONRY/SCIENCE LAB UPG/INTERIOR SPACES,10711000,CIP,X475,99 TERRACE VIEW AVENUE,Bronx,10463,"99 TERRACE VIEW AVENUE, Bronx 10463",40.87726,-73.91258
ALFRED E. SMITH HS - X,X,7,FY16 RESO A AUDITORIUM UPGRADE,464500,CIP,X600,333 EAST 151 STREET,Bronx,10451,"333 EAST 151 STREET, Bronx 10451",40.81829,-73.91966
X721 SPED - BRONX,X,11,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,5390630,CIP,X722,2697 WESTCHESTER AVENUE,Bronx,10461,"2697 WESTCHESTER AVENUE, Bronx 10461",40.84272,-73.83908
P.S. 226 - BRONX,X,10,DEFECTIVE MASONRY/ROOFS/FLOOD ELIMINATION,2787000,CIP,X826,1950 SEDGWICK AVENUE,Bronx,10453,"1950 SEDGWICK AVENUE, Bronx 10453",40.85598,-73.91616
P.S. 226 - BRONX,X,10,FY08 RESO A GYM UPGRADE,4800000,CIP,X827,1910 SEDGWICK AVENUE,Bronx,10453,"1910 SEDGWICK AVENUE, Bronx 10453",40.85548363,-73.91641185
P.S. 246 - BRONX,X,10,ELEVATOR/EXT MASONRY/FLOOD/PARAPETS/ROOFS/WALL,11448000,CIP,X843,2641 GRAND CONCOURSE,Bronx,10468,"2641 GRAND CONCOURSE, Bronx 10468",40.865967,-73.8953
