School Name,Borough,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Zip Code,address_full2,Lat,Lon
P.S. 196 - BROOKLYN,K,14,FY16 RESO A LIBRARY UPGRADE,131000,CIP,K196,207 BUSHWICK AVENUE,Brooklyn,11206,"207 BUSHWICK AVENUE, Brooklyn 11206",40.70877,-73.9398
P.S. 198 - BROOKLYN,K,22,PLAYGROUND REDEVELOPMENT AND TCU,1230964.98,CIP,K198,4105 FARRAGUT ROAD,Brooklyn,11210,"4105 FARRAGUT ROAD, Brooklyn 11210",40.63718,-73.93689
I.S. 201 - BROOKLYN,K,20,PARAPETS/EXT MASONRY/CONCRETE/FLOOD/ROOF,20782700,CIP,K201,8010 12 AVENUE,Brooklyn,11228,"8010 12 AVENUE, Brooklyn 11228",40.618977,-74.013682
P.S. 208 - BROOKLYN,K,18,"CRACKED MASONRY, DETERIORATED MORTAR/FLOOD/WINDOWS",2117000,CIP,K208,4801 AVENUE D,Brooklyn,11203,"4801 AVENUE D, Brooklyn 11203",40.64228,-73.93063
I.S. 211 - BROOKLYN,K,18,INTERIOR SPACES/HEATING PLT/ELEC/CLIMATE/FLOOD EL,10968000,CIP,K211,1001 EAST 100 STREET,Brooklyn,11236,"1001 EAST 100 STREET, Brooklyn 11236",40.64350919,-73.89639993
P.S. 225 - BROOKLYN,K,21,FLOOD ELMNTN/ROOFS/EXTERIOR MASONRY/PARAPETS,8677000,CIP,K225,1075 OCEAN VIEW AVENUE,Brooklyn,11235,"1075 OCEAN VIEW AVENUE, Brooklyn 11235",40.58037,-73.9558
P.S. 235 - BROOKLYN,K,18,PLAYGROUND REDEVELOPMENT & TCU,2000000,CIP,K235,525 LENOX ROAD,Brooklyn,11203,"525 LENOX ROAD, Brooklyn 11203",40.655337,-73.940923
I.S. 239 - BROOKLYN,K,21,SANDY:INTERIOR/CONCRETE/HEAT/ELEC/FLOOD/FA,19640000,CIP,K239,2401 NEPTUNE AVENUE,Brooklyn,11224,"2401 NEPTUNE AVENUE, Brooklyn 11224",40.57842,-73.99238
P.S. 235 - BROOKLYN,K,18,STRUCTURAL DEFECTS,890000,CIP,K242,10001 FLATLANDS AVENUE,Brooklyn,11236,"10001 FLATLANDS AVENUE, Brooklyn 11236",40.645966,-73.898607
P.S. 244 - BROOKLYN,K,18,MORTAR JOINTS DETERIOR /FLOOD/PARAPETS/ROOF/WINDOW,10147000,CIP,K244,5404 TILDEN AVENUE,Brooklyn,11203,"5404 TILDEN AVENUE, Brooklyn 11203",40.64842581,-73.92538903
P.S. 251 - BROOKLYN,K,22,FY16 RESO A AUDITORIUM UPGRAD,184300,CIP,K251,1037 EAST 54 STREET,Brooklyn,11234,"1037 EAST 54 STREET, Brooklyn 11234",40.63195,-73.9239
MIDDLE SCHOOL FOR ART & PHILOS,K,18,FY16 RESO A ROOM CONVERSIONS/PARTITIONING,174000,CIP,K252,1084 LENOX ROAD,Brooklyn,11212,"1084 LENOX ROAD, Brooklyn 11212",40.65797,-73.92028
MIDDLE SCHOOL FOR ART & PHILOS,K,18,PLANYC BOILER CONVERSION/CLIMATE CONTROL,7375000,CIP,K252,1084 LENOX ROAD,Brooklyn,11212,"1084 LENOX ROAD, Brooklyn 11212",40.65797,-73.92028
P.S. 254 - BROOKLYN,K,22,SANDY - HEATING/ELEC SYS/FLOOD ELIM/CLIMATE CONTRL,4620000,CIP,K254,1801 AVENUE Y,Brooklyn,11235,"1801 AVENUE Y, Brooklyn 11235",40.59065,-73.95155
I.S. 259 - BROOKLYN,K,20,CRACKED EXTERIOR MASONRY/ROOFS/PARAPETS,10786000,CIP,K259,7305 FT HAMILTON PKWY,Brooklyn,11228,"7305 FT HAMILTON PKWY, Brooklyn 11228",40.62649,-74.01499
I.S. 265 -BROOKLYN,K,13,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,5359400,CIP,K265,101 PARK AVENUE,Brooklyn,11205,"101 PARK AVENUE, Brooklyn 11205",40.69634497,-73.9756
P.S. 272 - BROOKLYN,K,18,PLAYGROUND REDEVELOPMENT AND TCU REMOVAL,1323000,CIP,K272,101-24 SEAVIEW AVENUE,Brooklyn,11236,"101-24 SEAVIEW AVENUE, Brooklyn 11236",40.62656078,-73.90077537
P.S. 279 - BROOKLYN,K,18,SANDY:INTERIOR/HEAT/ELEC/FLOOD/ELEVATOR/HVAC/FA,21599000,CIP,K279,1070 EAST 104 STREET,Brooklyn,11236,"1070 EAST 104 STREET, Brooklyn 11236",40.64427482,-73.89239314
I.S. 281 - BROOKLYN,K,21,SANDY:ELEVATOR UPG/FLOOD/FIRE ALARM,2098915,CIP,K281,8787 24 AVENUE,Brooklyn,11214,"8787 24 AVENUE, Brooklyn 11214",40.59545489,-73.99326684
P.S. 288 - BROOKLYN,K,21,INTERIOR SPACES/HEATING/ELEC/FLOOD/CLIMATE,12853000,CIP,K288,2950 WEST 25 STREET,Brooklyn,11224,"2950 WEST 25 STREET, Brooklyn 11224",40.5743,-73.9921
P.S. 290 - BROOKLYN,K,19,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,810000,CIP,K290,135 SCHENCK AVENUE,Brooklyn,11207,"135 SCHENCK AVENUE, Brooklyn 11207",40.67814,-73.88969
SCHOOL FOR INT'L STUD - K,K,15,DAMAGED EXTERIOR MASONRY/PARAPETS/ROOF,12710000,CIP,K293,284 BALTIC STREET,Brooklyn,11201,"284 BALTIC STREET, Brooklyn 11201",40.68533,-73.99334
I.S. 562 - BROOKLYN,K,32,FY16 RESO A AUDITORIUM UPGRADE,579130,CIP,K296,125 COVERT STREET,Brooklyn,11207,"125 COVERT STREET, Brooklyn 11207",40.68881,-73.91005
P.S. 297 - BROOKLYN,K,14,FY16 RESO A LIBRARY UPGRADE,181700,CIP,K297,700 PARK AVENUE,Brooklyn,11206,"700 PARK AVENUE, Brooklyn 11206",40.69764,-73.94772
LIBERTY AVENUE MIDDLE SCHOOL,K,19,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,707000,CIP,K302,350 LINWOOD STREET,Brooklyn,11208,"350 LINWOOD STREET, Brooklyn 11208",40.67715,-73.88362
P.S. 307 - BROOKLYN,K,13,CRACKED EXT MASONRY/ROOFS/PARAPETS,6721000,CIP,K307,209 YORK STREET,Brooklyn,11201,"209 YORK STREET, Brooklyn 11201",40.70179,-73.98175
P.S. 307 - BROOKLYN,K,13,RENOVATION OF CLASSROOM 332,255965,CIP,K307,209 YORK STREET,Brooklyn,11201,"209 YORK STREET, Brooklyn 11201",40.70179,-73.98175
P.S. 308 - BROOKLYN,K,16,FY14 RESO A LIBRARY UPGRADE,463800,CIP,K308,616 QUINCY STREET,Brooklyn,11221,"616 QUINCY STREET, Brooklyn 11221",40.68856,-73.93541
P.S. 375 - BROOKLYN,K,17,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,6238000,CIP,K320,46 MCKEEVER PLACE,Brooklyn,11225,"46 MCKEEVER PLACE, Brooklyn 11225",40.66483,-73.95925
P.S. 321 - BROOKLYN,K,15,FULL PROGRAM ACCESSIBILITY/FIRE ALARM,5581000,CIP,K321,180 7TH AVENUE,Brooklyn,11215,"180 7TH AVENUE, Brooklyn 11215",40.67165,-73.97803
P.S. 377 - BROOKLYN,K,32,LL 41-16 COMPLIANCE,44175.77,CIP,K377,200 WOODBINE STREET,Brooklyn,11221,"200 WOODBINE STREET, Brooklyn 11221",40.69389,-73.91516
M.S. 354 - BROOKLYN,K,17,LIBRARY UPGRADE,687400,CIP,K390,1224 PARK PLACE,Brooklyn,11213,"1224 PARK PLACE, Brooklyn 11213",40.67259,-73.93726
KINGSBOROUGH EARLY COLLEGE SCH,K,21,ELECTRICAL LIGHTING FIXTURES,1445999,CIP,K400,2630 BENSON AVENUE,Brooklyn,11214,"2630 BENSON AVENUE, Brooklyn 11214",40.59304,-73.98628
KINGSBOROUGH EARLY COLLEGE SCH,K,21,SANDY:INT/HEAT/FLOOD/PIPING/NON-SANDY:PIPING/FLOOD,16343000,CIP,K400,2630 BENSON AVENUE,Brooklyn,11214,"2630 BENSON AVENUE, Brooklyn 11214",40.59304,-73.98628
MIDWOOD HS - BROOKLYN,K,21,CRACKED CONCRETE STRUCTURE/FIELD HOUSE,18211000,CIP,K406,1124 EAST 17 STREET,Brooklyn,11210,"1124 EAST 17 STREET, Brooklyn 11210",40.62284795,-73.95907367
ABRAHAM LINCOLN HS - BROOKLYN,K,21,SANDY: INTERIOR/VENT/ELEC/FLOOD/ATHLETIC FIELD,38162000,CIP,K411,2800 OCEAN PARKWAY,Brooklyn,11235,"2800 OCEAN PARKWAY, Brooklyn 11235",40.58257,-73.96876
BROOKLYN TECH HS - K,K,13,LOW VOLT ELEC SYS/KITCHEN FIRE SUPRESSION SYS,4291000,CIP,K430,29 FT GREENE PLACE,Brooklyn,11217,"29 FT GREENE PLACE, Brooklyn 11217",40.68891,-73.97644
PERFORMING ARTS AND TECH. HS -,K,19,FY14 RESO A GYMNASIUM UPGRADE,1032000,CIP,K435,400 PENNSYLVANIA AVENUE,Brooklyn,11207,"400 PENNSYLVANIA AVENUE, Brooklyn 11207",40.66692,-73.89481
THE INTERNATIONAL HS - BROOKLY,K,17,MASONRY/WINDOWS/PARAPETS/ROOFS/FLOOD ELIMINAITON,20937000,CIP,K440,883 CLASSON AVENUE,Brooklyn,11225,"883 CLASSON AVENUE, Brooklyn 11225",40.669805,-73.96069
NEW UTRECHT HS - BROOKLYN,K,20,ATHLETIC FIELD REPAIRS,5290000,CIP,K446,1601 80 STREET,Brooklyn,11214,"1601 80 STREET, Brooklyn 11214",40.61324,-74.00313
I.S. 382 - BROOKLYN,K,17,ELECTRICAL LIGHTING FIXTURES,1247000,CIP,K465,911 FLATBUSH AVENUE,Brooklyn,11226,"911 FLATBUSH AVENUE, Brooklyn 11226",40.64951,-73.95826
SCIENCE TECH & RESEARCH - K,K,17,FY15 RESO A ELECTRICAL SYSTEMS,790000,CIP,K465,911 FLATBUSH AVENUE,Brooklyn,11226,"911 FLATBUSH AVENUE, Brooklyn 11226",40.64951,-73.95826
BUSHWICK HS OF SOCIAL JUSTICE,K,32,SCHOOL BASED HEALTH CENTER,1250581.23,CIP,K480,400 IRVING AVENUE,Brooklyn,11237,"400 IRVING AVENUE, Brooklyn 11237",40.69693275,-73.9108107
FORT HAMILTON HS - K,K,20,FY14 RESO A AUDITORIUM UPGRADE,428018,CIP,K490,8301 SHORE ROAD,Brooklyn,11209,"8301 SHORE ROAD, Brooklyn 11209",40.626811,-74.038077
SHEEPSHEAD BAY HS - BROOKLYN,K,22,SCHOOL BASED HEALTH CENTER,1570000,CIP,K495,3000 AVENUE X,Brooklyn,11235,"3000 AVENUE X, Brooklyn 11235",40.59314,-73.93663
GEORGE WESTINGHOUSE VOC. HS,K,13,LIBRARY UPGRADE,979200,CIP,K580,105 JOHNSON STREET,Brooklyn,11201,"105 JOHNSON STREET, Brooklyn 11201",40.69501,-73.98565
GEORGE WESTINGHOUSE VOC. HS,K,13,PARAPETS/EXTERIOR MASONRY/ROOFS/FLOOD ELIMINATION,9743000,CIP,K580,105 JOHNSON STREET,Brooklyn,11201,"105 JOHNSON STREET, Brooklyn 11201",40.69501,-73.98565
P.S. 8 - BROOKLYN,K,13,SCIENCE LAB UPGRADES,966800,CIP,K580,105 JOHNSON STREET,Brooklyn,11201,"105 JOHNSON STREET, Brooklyn 11201",40.69501,-73.98565
CLARA BARTON HS - K,K,17,FAILING COPING STONE/ROOFS,7064000,CIP,K600,901 CLASSON AVENUE,Brooklyn,11225,"901 CLASSON AVENUE, Brooklyn 11225",40.67023181,-73.96164606
AUTOMOTIVE TRADES VOC HS - K,K,14,ELECTRICAL LIGHTING FIXTURES,1231000,CIP,K610,50 BEDFORD AVENUE,Brooklyn,11222,"50 BEDFORD AVENUE, Brooklyn 11222",40.72225,-73.95329
WIILIAMSBURG PREP- BROOKLYN,K,14,ROOFS/WINDOWS/PARAPETS/EXT MASONRY,11337000,CIP,K650,257 N 6TH STREET,Brooklyn,11211,"257 N 6TH STREET, Brooklyn 11211",40.71521,-73.95478
BROOKLYN HS OF THE ARTS - BROO,K,15,ANSUL SYS/FIRE ALARM/MECHANICAL SYS - VENTILATION,5186160,CIP,K655,345 DEAN STREET,Brooklyn,11217,"345 DEAN STREET, Brooklyn 11217",40.68376,-73.98046
BROOKLYN HS OF THE ARTS - BROO,K,15,DAMAGED EXTERIOR WALLS/ROOFS,6577000,CIP,K655,345 DEAN STREET,Brooklyn,11217,"345 DEAN STREET, Brooklyn 11217",40.68376,-73.98046
I.S. 340 - BROOKLYN,K,13,ELECTRICAL LIGHTING FIXTURES,283000,CIP,K874,227 STERLING PLACE,Brooklyn,11238,"227 STERLING PLACE, Brooklyn 11238",40.67611,-73.96985
I.S. 266 - BROOKLYN,K,13,MASONRY/PIPING/DOOR/FLOOD/WIN/PARAPETS/ROOF/HVAC,33792000,CIP,K902,62 PARK PLACE,Brooklyn,11217,"62 PARK PLACE, Brooklyn 11217",40.67892,-73.97659
P.S. 1 - MANHATTAN,M,2,RPZ VALVES/LOW VOLTAGE ELECTRICAL/ANSUL SYSTEM,1616020,CIP,M001,8 HENRY STREET,Manhattan,10038,"8 HENRY STREET, Manhattan 10038",40.71274054,-73.99728327
P.S. 5 - MANHATTAN,M,6,FIRE ALARM SYSTEM/SMOKE DAMPERS,1543000,CIP,M005,3703 TENTH AVENUE,Manhattan,10034,"3703 TENTH AVENUE, Manhattan 10034",40.85892,-73.92243
P.S. 5 - MANHATTAN,M,6,PARAPETS/ROOFS/WINDOWS,10770000,CIP,M005,3703 TENTH AVENUE,Manhattan,10034,"3703 TENTH AVENUE, Manhattan 10034",40.85892,-73.92243
FREDERICK DOUGLAS ACADEMY - M,M,5,SCIENCE LAB ACID WASTE LINES,4523000,CIP,M010,2581 7TH AVENUE,Manhattan,10039,"2581 7TH AVENUE, Manhattan 10039",40.82438,-73.93669
P.P.A.S. - MANHATTAN,M,2,FY13 RESO A ROOM CONVERSIONS / PART,480000,CIP,M017,328 WEST 48 STREET,Manhattan,10036,"328 WEST 48 STREET, Manhattan 10036",40.76149,-73.98853
P.P.A.S. - MANHATTAN,M,2,MASONRY/AUD UPG/WIN/FLOOD/PARAPETS/ROOFS/FA,7315000,CIP,M017,328 WEST 48 STREET,Manhattan,10036,"328 WEST 48 STREET, Manhattan 10036",40.76149,-73.98853
P.S. 40 - MANHATTAN,M,2,FY16 RESO A ROOFTOP PLAYGROUND,311000,CIP,M040,319 EAST 19 STREET,Manhattan,10003,"319 EAST 19 STREET, Manhattan 10003",40.73512,-73.9817
J.H.S. 47 (SCH FOR THE DEAF) -,M,2,PARAPETS/WINDOWS/EXTERIOR MASONRY,2654000,CIP,M047,223 EAST 23 STREET,Manhattan,10010,"223 EAST 23 STREET, Manhattan 10010",40.73837,-73.98163
I.S. 54 - MANHATTAN,M,3,MASONRY & GRANITE STEP DEFECTS,883000,CIP,M054,103 WEST 107 STREET,Manhattan,10025,"103 WEST 107 STREET, Manhattan 10025",40.80047,-73.96328
EASTSIDE COMMUNITY HS - M,M,1,FIFTH FLOOR CEILING REPLACEMENT,150000,CIP,M060,420 EAST 12 STREET,Manhattan,10009,"420 EAST 12 STREET, Manhattan 10009",40.72938,-73.9825
P.S. 361 - MANHATTAN,M,1,RPZ VALVES/LOW VOLT/ELEC UPGRADE,2646000,CIP,M061,610 EAST 12 STREET,Manhattan,10009,"610 EAST 12 STREET, Manhattan 10009",40.72773,-73.97838
P.S. 63 - MANHATTAN,M,1,PARAPETS/ROOFS/FLOOD ELIMINATION/EXTERIOR MASONRY,20539600,CIP,M063,121 EAST 3 STREET,Manhattan,10009,"121 EAST 3 STREET, Manhattan 10009",40.72414,-73.9862
P.S. 72 - MANHATTAN,M,4,PARAPETS/MASONRY/RM UPG/FLOOD/ROOF/PLAYGROUND,14061000,CIP,M072,131 EAST 104 STREET,Manhattan,10029,"131 EAST 104 STREET, Manhattan 10029",40.79121,-73.94758
P.S. 72 - MANHATTAN,M,4,SCIENCE LAB UPGRADE,718920,CIP,M072,131 EAST 104 STREET,Manhattan,10029,"131 EAST 104 STREET, Manhattan 10029",40.79121,-73.94758
P.S. 75 - MANHATTAN,M,3,PLAYNYC BOILER CONVERSION/CLIMATE CONTROL,6666000,CIP,M075,735 WEST END AVENUE,Manhattan,10025,"735 WEST END AVENUE, Manhattan 10025",40.79504,-73.97363
P.S. 75 - MANHATTAN,M,3,TEMPORARY BOILER,250000,CIP,M075,735 WEST END AVENUE,Manhattan,10025,"735 WEST END AVENUE, Manhattan 10025",40.79504,-73.97363
BARD COLLEGE HS - MANHATTAN,M,1,NON-SANDY:MASONRY/ROOF/PARAPET/SANDY:FLOOD/MASONRY,6913000,CIP,M097,525 EAST HOUSTON STREET,Manhattan,10002,"525 EAST HOUSTON STREET, Manhattan 10002",40.71872,-73.97599
P.S. 101 - MANHATTAN,M,4,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,3034000,CIP,M101,141 EAST 111 STREET,Manhattan,10029,"141 EAST 111 STREET, Manhattan 10029",40.79571,-73.94434
P.S. 102 - MANHATTAN,M,4,DEFECTIVE CONCRETE BEAM FIRE PROOFING,727000,CIP,M102,315 EAST 113 STREET,Manhattan,10029,"315 EAST 113 STREET, Manhattan 10029",40.79493,-73.93856
P.S. 108 - MANHATTAN,M,4,PLANYC BOILER/PLANC CLIMATE CTRL/LOW VOLT/KITCHEN,6384000,CIP,M108,1615 MADISON AVENUE,Manhattan,10029,"1615 MADISON AVENUE, Manhattan 10029",40.79503,-73.94786
P.S. 241 - MANHATTAN,M,3,FLOOD ELIMINATION,1337000,CIP,M113,240 WEST 113 STREET,Manhattan,10026,"240 WEST 113 STREET, Manhattan 10026",40.80165,-73.95508
P.S. 241 - MANHATTAN,M,3,PLANYC BOILER CONVERSION/CIMATE CONTROL,4697000,CIP,M113,240 WEST 113 STREET,Manhattan,10026,"240 WEST 113 STREET, Manhattan 10026",40.80165,-73.95508
P.S. 333 - MANHATTAN,M,3,EXTERIOR MASONRY/ROOFS/PARAPETS,11148891,CIP,M118,154 WEST 93 STREET,Manhattan,10025,"154 WEST 93 STREET, Manhattan 10025",40.79159,-73.97085
P.S. 123 - MANHATTAN,M,5,FLOOD ELIMINATION,4815000,CIP,M123,301 WEST 140 STREET,Manhattan,10030,"301 WEST 140 STREET, Manhattan 10030",40.81996,-73.94466
P.S. 128 - MANHATTAN,M,6,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,6790000,CIP,M128,560 WEST 169 STREET,Manhattan,10032,"560 WEST 169 STREET, Manhattan 10032",40.84137,-73.93905
P.S. 129 - MANHATTAN,M,5,SCIENCE LAB UPGRADES,782100,CIP,M129,425 WEST 130 STREET,Manhattan,10027,"425 WEST 130 STREET, Manhattan 10027",40.81498,-73.95242
P.S. 130 - MANHATTAN,M,2,STRUCTURAL DEFICIENCIES,1097000,CIP,M130,143 BAXTER STREET,Manhattan,10013,"143 BAXTER STREET, Manhattan 10013",40.71874,-73.99844
P.S. 145 - MANHATTAN,M,3,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,3073000,CIP,M145,150 WEST 105 STREET,Manhattan,10025,"150 WEST 105 STREET, Manhattan 10025",40.7992,-73.9652
P.S. 146 - MANHATTAN,M,4,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,3332800,CIP,M146,421 EAST 106 STREET,Manhattan,10029,"421 EAST 106 STREET, Manhattan 10029",40.78952,-73.9387
P.S. 152 - MANHATTAN,M,6,FIRE ALARM,927000,CIP,M152,93 NAGLE AVENUE,Manhattan,10040,"93 NAGLE AVENUE, Manhattan 10040",40.8602,-73.92784
P.S. 158 - MANHATTAN,M,2,MASONRY/FLOOD ELIMINATION/ROOFS/WINDOWS/PARAPETS,25859000,CIP,M158,1458 YORK AVENUE,Manhattan,10075,"1458 YORK AVENUE, Manhattan 10075",40.77021,-73.95075
P.S. 165 - MANHATTAN,M,3,EXT MASONRY/ROOFS,6233477,CIP,M165,234 WEST 109 STREET,Manhattan,10025,"234 WEST 109 STREET, Manhattan 10025",40.80298,-73.966
I.S. 167 - MANHATTAN,M,2,FACADE DAMAGE/SITE WORK/FLOOD/PARAPETS/WINDOWS,6157000,CIP,M167,220 EAST 76 STREET,Manhattan,10021,"220 EAST 76 STREET, Manhattan 10021",40.77192,-73.95802
I.S. 167 - MANHATTAN,M,2,FY15 RESO A SCIENCE LAB UPGRADES,425000,CIP,M167,220 EAST 76 STREET,Manhattan,10021,"220 EAST 76 STREET, Manhattan 10021",40.77192,-73.95802
P.S. 183 - MANHATTAN,M,2,EXTERIOR MASONRY/FLOOD ELIMINATION/ PARAPETS/ROOFS,11870000,CIP,M183,419 EAST 66 STREET,Manhattan,10065,"419 EAST 66 STREET, Manhattan 10065",40.7638,-73.95773
HAMILTON GRANGE MIDDLE SCHOOL,M,6,SCIENCE LAB UPGRADE,1098000,CIP,M192,500 WEST 138 STREET,Manhattan,10031,"500 WEST 138 STREET, Manhattan 10031",40.82092,-73.95306
P.S. 132 - MANHATTAN,M,6,FUEL OIL TANK REPLACEMENT,968000,CIP,M233,601 WEST 183 STREET,Manhattan,10033,"601 WEST 183 STREET, Manhattan 10033",40.8507,-73.93299
P.S. 234 - MANHATTAN,M,2,FY16 RESO A AUDITORIUM UPGRADE,195000,CIP,M234,292 GREENWICH STREET,Manhattan,10007,"292 GREENWICH STREET, Manhattan 10007",40.71623,-74.01164
BAYARD RUSTIN EDUCATIONAL COMP,M,2,SCIENCE LAB UPGRADE,4222000,CIP,M440,351 WEST 18 STREET,Manhattan,10011,"351 WEST 18 STREET, Manhattan 10011",40.74305,-74.00233
SEWARD PARK H.S.,M,2,WINDOWS/PARAPETS/FLOOD/EXT MASONRY/ROOFS,18800000,CIP,M445,350 GRAND STREET,Manhattan,10002,"350 GRAND STREET, Manhattan 10002",40.71733,-73.98933
UNIVERSITY NEIGHBORHOOD HS - M,M,1,FIRE ALARM/VENTILATION,3780000,CIP,M446,200 MONROE STREET,Manhattan,10002,"200 MONROE STREET, Manhattan 10002",40.71241,-73.98401
GRAMERCY ARTS HS - MANHATTAN,M,2,ELECTRICAL SYSTEMS/PA SYSTEM,6221001,CIP,M460,40 IRVING PLACE,Manhattan,10003,"40 IRVING PLACE, Manhattan 10003",40.73554,-73.98745
WASHINGTON IRVING H.S.,M,2,WATER STORAGE TANK,1189512,CIP,M460,40 IRVING PLACE,Manhattan,10003,"40 IRVING PLACE, Manhattan 10003",40.73554,-73.98745
WASHINGTON IRVING HS - MANHATT,M,2,EXT. MASONRY/ROOF/PARAPET/ FLOOD ELIM./WINDOWS/GYM,43221000,CIP,M460,40 IRVING PLACE,Manhattan,10003,"40 IRVING PLACE, Manhattan 10003",40.73554,-73.98745
JULIA RICHMAN H.S.,M,2,LL 41-16 COMPLIANCE,38865.86,CIP,M480,317 EAST 67 STREET,Manhattan,10065,"317 EAST 67 STREET, Manhattan 10065",40.76533,-73.95974
BERGTRAUM HS - MANHATTAN,M,2,LIBRARY UPGRADE,2295000,CIP,M520,411 PEARL STREET,Manhattan,10038,"411 PEARL STREET, Manhattan 10038",40.71125,-74.00165
FOOD AND FINANCE HS - MANHATTA,M,2,FY11 RESO A ROOFS,1994000,CIP,M535,525 WEST 50 STREET,Manhattan,10019,"525 WEST 50 STREET, Manhattan 10019",40.76555,-73.99358
PARK WEST H. S. (ECF),M,2,C OF O/C OF O VENT/WATER PLANT/BOILER/ENERGY MGMT,23313000,CIP,M535,525 WEST 50 STREET,Manhattan,10019,"525 WEST 50 STREET, Manhattan 10019",40.76555,-73.99358
A. PHILIP RANDOLPH HS -MANHATT,M,6,LIGHTING REPLACEMENT,1151999,CIP,M540,443 WEST 135 STREET,Manhattan,10031,"443 WEST 135 STREET, Manhattan 10031",40.81814,-73.95001
FASHION INDUSTRIES VOC HS - M,M,2,ACCESSIBILITY,3300000,CIP,M600,225 WEST 24 STREET,Manhattan,10011,"225 WEST 24 STREET, Manhattan 10011",40.74544,-73.99651
CHELSEA VOC HS - MANHATTAN,M,2,LOW VOLTAGE ELECTRICAL SYSTEM/ANSUL SYSTEM,2314098,CIP,M615,131 AVE OF THE AMERICAS,Manhattan,10013,"131 AVE OF THE AMERICAS, Manhattan 10013",40.72464,-74.00484
HS OF GRAPHIC COMM. ARTS (VOC),M,2,PLANYC BOILERS CONVERSION/CLIMATE CONTROL,8627000,CIP,M625,439 WEST 49 STREET,Manhattan,10019,"439 WEST 49 STREET, Manhattan 10019",40.76368691,-73.99121801
M721 SPED - MANHATTAN,M,2,REINFORCE CINDER/FLOORS/ACCESSIBLITY/ELEC UPG/FA,6142800,CIP,M641,16 CLARKSON STREET,Manhattan,10014,"16 CLARKSON STREET, Manhattan 10014",40.72933,-74.00631
I.S. 348 - MANHATTAN,M,6,FY16 RESO A PLAYGROUND UPGRADE,298786,CIP,M859,512 WEST 182 STREET,Manhattan,10033,"512 WEST 182 STREET, Manhattan 10033",40.84899,-73.93146
P.S. 2 - QUEENS,Q,30,FY15 RESO A ACCESSIBILITY,507657,CIP,Q002,75-10 21 AVENUE,Queens,11370,"75-10 21 AVENUE, Queens 11370",40.77029842,-73.8944346
I.S. 5 - QUEENS,Q,24,HVAC/PUBLIC ADDRESS SYSTEM,4710000,CIP,Q005,50-40 JACOBUS STREET,Queens,11373,"50-40 JACOBUS STREET, Queens 11373",40.73728,-73.88804
P.S. 12 - QUEENS,Q,24,BOILER REPLACE/ELEC SWITCH UPG/PLANYC CLIMATE CTRL,5887000,CIP,Q012,42-00 72 STREET,Queens,11377,"42-00 72 STREET, Queens 11377",40.74259724,-73.89284804
P.S. 14 - QUEENS,Q,24,ROOFS/PARAPETS/EXT MASONRY,10068000,CIP,Q014,107-01 OTIS AVENUE,Queens,11368,"107-01 OTIS AVENUE, Queens 11368",40.7411,-73.85443
QUEENS ACADEMY HIGH SCHOOL - Q,Q,25,TOILETS-STUDENT,887333,CIP,Q023,138-11 35 AVENUE,Queens,11354,"138-11 35 AVENUE, Queens 11354",40.76563,-73.82829
QUEENS ACADEMY HIGH SCHOOL - Q,Q,25,WATER PENETRATION/EXT MASONRY/ROOFS,1450000,CIP,Q023,138-11 35 AVENUE,Queens,11354,"138-11 35 AVENUE, Queens 11354",40.76563,-73.82829
P.S. 26 - QUEENS,Q,26,FY15 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,536250,CIP,Q026,195-02 69 AVENUE,Queens,11365,"195-02 69 AVENUE, Queens 11365",40.73594,-73.7776
P.S. 354 - QUEENS,Q,28,DEFECTIVE PARAPET WALL/ROOFS/EXT MASONRY,5977000,CIP,Q030,126-10 BEDELL STREET,Queens,11434,"126-10 BEDELL STREET, Queens 11434",40.68035183,-73.77453343
P.S. 32 - QUEENS,Q,25,FY15 RESO A AUDITORIUM UPGRADE,365696,CIP,Q032,171-11 35 AVENUE,Queens,11358,"171-11 35 AVENUE, Queens 11358",40.76543,-73.79434
P.S. 33 - QUEENS,Q,29,ROOF REPAIR/PARAPETS/EXTERIOR MASONRY,8860557,CIP,Q033,91-37 222 STREET,Queens,11428,"91-37 222 STREET, Queens 11428",40.72716,-73.73408
P.S. 42 - QUEENS,Q,27,SANDY:INT/HEATING/FLOOD/CLIMATE/PIPING/HVAC/ELEC,15125767,CIP,Q042,488 BEACH 66 STREET,Queens,11692,"488 BEACH 66 STREET, Queens 11692",40.59435,-73.79506
P.S. 43 - QUEENS,Q,27,SANDY- ELEVATOR REPAIR,412810,CIP,Q043,160 BEACH 29TH STREET,Queens,11691,"160 BEACH 29TH STREET, Queens 11691",40.59371,-73.76152
